0	41.73
100	256.73
26	86.63
81	206.88
54	144.83
24	86.33
42	129.03
74	197.83
30	95.23
55	159.98
51	146.38
74	201.83
71	190.38
7	51.78
83	215.18
53	159.68
93	236.68
79	204.58
47	135.78
76	205.13
13	70.68
86	227.63
27	101.78
83	218.18
64	180.33
73	195.68
83	217.18
83	218.18
82	211.03
59	165.58
100	251.73
19	73.58
18	75.43
58	161.43
53	146.68
6	56.63
19	73.58
10	64.23
65	174.48
26	94.63
34	104.83
99	251.58
39	118.58
18	71.43
14	60.83
59	158.58
42	122.03
67	179.78
30	103.23
34	106.83
76	207.13
80	209.73
43	127.18
52	149.53
98	244.43
68	176.93
4	41.33
88	225.93
35	109.98
52	149.53
